"[ 어디사세요?], 부정 텍스트 확률 : 69.26%"
"[벌써 기저귀 착용 개월차에 들어가는 평안이예요갤부터 쉬를 표현해서 금새 배변훈련할 줄 알았는데 조짐이 오락가락해서 아직까지 사용중이네요 ], 부정 텍스트 확률 : 96.07%"
"[ 평안이는.?보솜이보솜이 와.?하기스하기스.?기저귀기저귀 를 사용해봤어요사용후기 공유해볼께요하기스와 보솜이 브랜드를 년 가까이 제 돈 주고 구매해서 사용해본 개인적인 견해입니다 ], 부정 텍스트 확률 : 90.26%"
"[ 보솜이나 하기스 둘다 번정도의 소변은 아주 빠르고 잘 흡수되는지 알림표시가 거의 안뜨네요 ], 부정 텍스트 확률 : 67.95%"
"[ 아기의.?기저귀사이즈기저귀사이즈 선택은 몸무게를 참고하면 돼요저는 몸무게에 정도 여유를 주고 선택했어요그러다보니 약 한단계씩 크게 구매했네요클수록 갯수가 적어져서 개당 금액이 높아진다는..특히나 여름이 되면 넉넉한 사이즈임에도 뭔가 답답할거 같아서.?리얼코튼썸머리얼코튼썸머 제품으로 바꿔서 사용하게 되더라구요 ], 부정 텍스트 확률 : 95.22%"
"[ 썸머제품은 확실히 기본 리얼코튼 보다 허리나 허벅지쪽의 쪼여지는 부분이 에어링 겉거버로 시원할거 같아보여요 ], 부정 텍스트 확률 : 64.02%"
"[ 첫해 여름은 보솜이 썸머로 발진도 없이 무더위를 이겨내며 아주 잘 지냈어요그렇게 두번째 여름을 맞이하기전..월쯤 처음으로 허리주변이 살짝 붉게 올라오더라구요그래서 여름준비겸.?보솜이썸머보솜이썸머 로 바꾸어줬는데 그다지 차도가 없네요결국 갤 다른 기저귀로 갈아타는 계기가 됐어요 ], 부정 텍스트 확률 : 79.47%"
"[ 꽤 긴시간 보솜이를 쓰다가 하기스로 갈아타니깐 낯설더라구요 ], 부정 텍스트 확률 : 68.01%"
"[ 하기스로 갈아타서도 사이즈 선택은 보솜이기저귀 때처럼정도 계산했어요 .?하기스에어솔솔썸머하기스에어솔솔썸머 로 갈아타고 붉게 짓무르려던 피부는 진짜 신기하게 괜찮아졌어요혹시라도 계속 안좋아지면 또 어떤 기저귀로 갈아타야하나 고민스러웠는데 정말 다행이었어요그렇게.?하기스기저귀하기스기저귀 로 정착하고 있는데..여름을 보내고.?매직팬티컴포트핏매직팬티컴포트핏 으로 사용을 하는데..하.. 진짜 매일밤 소변이 새서 아기가 축축하다고 깨는 바람에 기저귀와 옷 갈아입히느라 바쁘네요ㅜ이제 와서 다시.?기저귀브랜드기저귀브랜드 를 바꾸자니 까마득한데 너무 불편한 부분이예요낮에는 아무리 움직여도 새는 경우가 없는데 밤에는 사용하기 너무 불편하네요 ], 부정 텍스트 확률 : 97.48%"
"[ ☆하기스 는 양쪽에 찍찍이가 있어서 돌돌말아서 양쪽을 모아 붙여서 버리는 방식이예요 ], 부정 텍스트 확률 : 82.49%"
"[ 둘둘 말면 끝 인 보솜이를 쓰다가 하기스의 양쪽 찍찍이를 모아서 붙여야 하는 접착방식의 차이가 굉장히 낯설고 불편했는데 쓰다보니 익숙해지는 거 같아요뒷처리의 편리함보솜이하기스], 부정 텍스트 확률 : 95.39%"
"[ 처음에는 의미를 몰라서 양쪽 찍찍이가 일회용으로 쓰기엔 쓸데없이 아까울만큼 좋다고 생각했는데 이게 굉장히 편리한거였어요특히 변을 보거나 외출시에는.?하기스원터치매직테이프하기스원터치매직테이프 방식이 진짜 엄청 편함 ☆보솜이 변을 볼땐 기저귀 양쪽을 찢어서 벗기는 방식☆하기스 변을 볼때 기저귀 양쪽을 뜯어서 벗기는 방식보솜이의 경위 찢기 때문에 실수로 찢어도 재사용이 불가능한데 하기스는 뜯어서 다시 붙이는 방식이라 실수로 뜯어도 다시 붙여주면 돼요☆보솜이 외출시 하의를 다 벗고 팬티형기저귀를 입고 다시 하의를 입혀야 함☆하기스 외출시 하의를 벗지 않고 내리기만 한 상태로입혀줄 수 있음평안이의 경우 뒤집기 시작하면서부터는 기저귀를 팬티형으로 바꿨고], 부정 텍스트 확률 : 98.39%"
"[ 아기기저귀라 예쁘게 만드는건 모든 기저귀들이 열심인거 같아서 크게 못난건 없는데 뒷태의 슬림함은 확실히 다른거 같아요☆ 뒷태가예쁨하기스보솜이 보솜이를 입다가 하기스로 갈아타보니 옷입혔을때 뒷태가 달라요물론 아가들의 기저귀착용한 빵빵하고 뒷뚱거리는 뒷태가 귀욤포인트이긴 하지만 예뻐보이는 옷태는 확실히 하기스가 슬림한건지 기저귀 한거 같지 않고 예쁘네요다만], 부정 텍스트 확률 : 98.14%"
"[위에서 하기스의 최대 불편함으로 말했듯이 슬림해서인지 흡수력은 보솜이의 비해 떨어지는거 같아요ㅜ특히 밤잠을 자는 동안은 매일 옷이 다 젖을정도로 새는..☆ 흡수력보솜이하기스 전체적으로 봤을때 밴드형이거나 팬티형 초반에는 보솜이를 사용하는게 좋은거 같아요혼자 일어서서 기저귀를 갈 수 있을만큼 컸을땐.?하기스팬티형기저귀하기스팬티형기저귀 가 편한거 같기에 교체 혹은 병행해도 괜찮을거 같네요특히 외출시에는 하기스팬티형을 강추해요하기스 여름용은 밤낮 소변이 새는 경우가 없었고 발진이나 땀띠도 없이 잘 맞았기에 강추인데 매직컴포트핏은 소변이 자주 새기에 다른 기저귀와 병행하는게 아니라면 개인적으로 사용해본 결과 비추천해요 매직컴포트핏이 아닌 하기스의 다른 종류는 괜찮을지도.. ], 부정 텍스트 확률 : 99.51%"
"[언어 등 조급하지 않아도 때되면 자연스레하기에 이또한 자연스레 시작하고 싶어요 ], 부정 텍스트 확률 : 73.42%"
"[.?배변훈련배변훈련.?아기배변훈련아기배변훈련.?배변훈련시기배변훈련시기.?개월배변훈련개월배변훈련.?배변훈련체크항목배변훈련체크항목저는 배변훈련 하기전 몇가지 체크항목을 염두에 뒀어요ㅡ 낮잠시간에 소변을 보지 않는다 시간 동안 소변 간격 유지ㅡ 아기가 쉬라는 말], 부정 텍스트 확률 : 80.22%"
"[혹은 찝찝함음 표현한다ㅡ 아기 스스로 바지와 기저귀를 입고 벗으려 한다ㅡ 아빠.엄마의 행동을 모방한다이제 배변훈련을 할 시기는 된거 같네요얼집교사인 친구에게 물어보니 보통 갤이전으로 여름쯤 팬티로 갈아탄다고 하네요얼집에 있으면 친구들이 변기에 배변하는걸 보고 더 쉽고 친근하게 따라하며 학습한다는데 얼집을 안보내는 평안이는 여름을 기다려봐야겠네요여름이 되면 아기도 기저귀가 덥고 불편하기에 배변훈련이 더 쉽다는 말이 와닿기에 곧 다가올 여름에 팬티로 갈아타길 기대해봅니다 ], 부정 텍스트 확률 : 63.15%"
"[ .친정부모님이 아들 데리고 많이 외출하셨다..외할아버지랑 나가면 기본 시간을 놀고 온다. ], 부정 텍스트 확률 : 84.04%"
"[ .울 아들은 저녁만 되면.에너지가 넘쳐나서.할아버지가 일부러 데리고 나가뛰어다니게 만들어서 체력소진시킨다. ], 부정 텍스트 확률 : 84.51%"
"[ .민들레 킬러 ㄷㄷ.민들레만 보이면 그렇게 꺾어댄다.후후는 하는데 바람이 안 나온다 ], 부정 텍스트 확률 : 67.08%"
"[ .저번 일욜에 너무 답답해서.아들 낮잠 자는 사이에.친정엄마랑 백화점으로 나들이 다녀왔다..아이쇼핑하러 간건데.인형], 부정 텍스트 확률 : 56.31%"
"[목도리], 부정 텍스트 확률 : 53.29%"
"[양말 사버렸다...목도리는 진짜 잘 샀다..구매한 나 아주 칭찬해], 부정 텍스트 확률 : 71.77%"
"[ .원숭이 인형이 아직까진 순위지만.원숭이 너덜너덜해지면 기린으로 대체되겠지 ], 부정 텍스트 확률 : 73.06%"
"[ .한 일 예상하고 친정집 왔던터라.옷도 많이 안 챙겨왔는데.친정집은 울 집보다 많이 추워서.이마트에서 급 수면조끼 샀다..이불 안 덮고 자는 울 아들에게 안성맞춤마음에 들었는지 아주 좋아한다. ], 부정 텍스트 확률 : 54.12%"
"[ .이마트에 새로운 게임 자동차가 들어왔는데.한 번 타고나서는 아주 푹 빠져버렸다. ], 부정 텍스트 확률 : 54.49%"
"[ .까까 사러 가자해서 겨우 달램.기어이 바구니 들겠대서.빈 바구니 하나 주고 니 과자 골라했더니.저렇게 개 담음 ㅋㅋㅋ.만족하며 가는 뒷모습], 부정 텍스트 확률 : 91.49%"
"[ .남편이 조각퍼즐은 아직 이르대서 안 사고 있었는데.우연찮게 딱 좋은 퍼즐을 발견했다..아들이 좋아하는 탈 것에다.퍼즐 하나씩 그냥 가지고 놀기도 좋음..분의 은 혼자서 다시 제자리에 넣을 수 있더라.모양보고 아는건가? 위치를 외운걸까? ], 부정 텍스트 확률 : 99.76%"
"[ .아아 어지럼 주의보 ㄷㄷ.개월 되고부터 애가 혼자서 빙글빙글 돈다..그러다가 내 손 잡고 또 빙글빙글.두바퀴 돌고나면 진짜 너무 어지럼.의외로 아들은 별로 안 어지러워한다...오후에 낮잠 자고 저녁이 되면.초사이언이 되서 파워 업.한시도 가만히 있지 않고 뛰어다닌다..대체 얘 왜 이래 하면서 모두 다 고개 절레절레 ㅋㅋ..예전엔 뛰어다녀도 발소리가 크지 않았는데.요즘 뛰면은 매트 위에서도 쿵쿵쿵.층간소음 엄청 걱정되기 시작했다..매트를 뚫는 너의 발소리란 ㄷㄷㄷㄷ.벌써부터 뛰지말고 살살 걸어 소리가 나온다..아들도 뒷꿈치 들고 살살 걷다가 또 잊어먹고 우다닷 ], 부정 텍스트 확률 : 72.79%"
"[ .유튜브에 빠진 자...핵진지하구만...외할아버지가 컴퓨터로 한 번 틀어주니.외할아버지 퇴근해서 오면.손 끌고 컴퓨터방으로 직행.의자에 떡하니 앉아 틀어달라고 ㄷㄷ..영상노출을 이미 하긴 했지만.그래도 티비로만 볼 수 있다해서.핸드폰으로는 안 보여주고], 부정 텍스트 확률 : 83.91%"
"[ .대체 뭘 그리 진지하게 보나했더니.블리피 영상을 보고있더라.미국나이 세용으로 제작된 교육컨텐츠인데.자동차가 많이 나오다보니.친정아빠가 어찌어찌 틀어줬나봄.영어노출영상으로 한국에서도 많이 보긴 하나보다..친정엄마가 봐도 재밋다고 할 정도니.아들은 얼마나 재밋겠나 싶기도근데 유튜브 중독은 진짜 무섭티비는 켜놔도 안 보고 배경음악 삼아 지 할거 하고꺼도 왜 껐어 조금 짜증내다 지 할거 하는데유튜브는 하루 못 보면 애가 자꾸 생각이 나는지잠도 깊게 못 자고 새벽같이 일어나서컴퓨터방 앞에서 똑똑똑 문열어달라고..집으로 돌아와서는 유튜브 아웃막상 안 보니 또 괜찮아졌다.포기가 빠른 자 ㅋㅋ ], 부정 텍스트 확률 : 67.60%"
"[ .양갱 첫 경험.조금 갉아먹다가 엄마 줬다..그렇게 맛있진않나보구나? ㅋㅋ ], 부정 텍스트 확률 : 69.45%"
"[ .하루에 귤 까기만 회 이상 하는 듯.까기만 함 ㅋㅋㅋ.까는 걸로 스트레스를 푸는 거 같기도 하고 ], 부정 텍스트 확률 : 84.31%"
"[ 신생아때 부터 꾸준하게 쓰고 있는 제품이 바로 보솜이에요.요즘 백종원기저귀로 알려지면서 주변에서도 육아하는 분들이 많이 선택하고 계셔서설명은 길게 하지 않아도 잘 아실 듯 합니다. .저도 선택하는데 검색도 해보고 직접 구입도 해보고 아이에게 좋은 걸까? 고민도 하며선택한 결과 보솜이 리얼코튼 썸머 만한 것이 없더라고요. ], 부정 텍스트 확률 : 82.08%"
"[미국산 천연코튼으로 만들어진 안커버는민감한 아이들의 피부를 보호해주는데요], 부정 텍스트 확률 : 83.97%"
"[ 울 아이들 같은 경우에는 자그마한 자극만 있어도 붉어지고 예민하게 반응하기 때문에제품을 고를 때에도 신중하게 선택하게 되요.지금까지 후기들을 남기면서도 아이들이 발진이 생긴다던가 문제가 있는 것 같은 경우에는제 양심상 소개해드리지 못하겠더라고요. 그래서 꼭 아이들이 써보고 좋은 것들만 알려드리려고 해요. ], 부정 텍스트 확률 : 73.46%"
"[안 커버 소재가 괜찮은지 아이에게 반점이나 두드러기 같은 것들이 생기지 않는다고 하며저에게도 써보라고 추천을 해주었어요. ], 부정 텍스트 확률 : 98.65%"
"[ 그에 딱 맞는 제품이 바로 보솜이 리얼코튼 썸머 랍니다. ], 부정 텍스트 확률 : 87.73%"
"[ 땀차기 쉬운 아이 피부를 보송보송 하게 유지해준니다.보솜이 이름처럼 아이엉덩이를 보송보송하게 만들어주니 쓰면서도 만족할 수 밖에 없죠. ], 부정 텍스트 확률 : 74.96%"
"[ 밴드형으로 되어 있어 아이 체형에 맞춰 착 하고 붙여주면 끝요즘은 팬티기저귀를 채워두면 집에서도 나가서도 갈아주기가 여간 힘이 든게 아니더라고요. ㅠ아이가 너무 움직이기도 하고], 부정 텍스트 확률 : 90.21%"
"[팬티 입자 하면 도망가서오히려 밴드형을 더 편하게 쓰고 있어요. ], 부정 텍스트 확률 : 59.94%"
"[ 다리밴드로 한번 잡아주고], 부정 텍스트 확률 : 65.24%"
"[ 브랜드는 밝히지 않겠지만 소변 알림선이 없어서 정말 하루에도 댓번씩 열었다 닫았다확인을 하느라 힘이 든다며 기저귀는 다 그런거 아니냐고 하더라고요.그래서 제가 쓰는 기저귀를 보여주며 이거 봐라..소변 알림 선이 있지 않느냐..라고 이야기 했더니뜨악...경악 이제서야 알았대요.진작 알았으면 보솜이기저귀로 바꿨을 거라며 당장 주문해야겠다고 하더니 그날부터 바로 바꿔 주었더라고요. ], 부정 텍스트 확률 : 98.29%"
"[ 육아제품은 끝도 없이 브랜드도 다양해서 선택하는데 어려움이 많긴 하지만저는 직접 다양하게 써보고 우리 아이들에게 맞는 것으로 골라주고 있는데기저귀는 보솜이 제품을 가장 많이 쓰고 있는 것 같아요.쭉쭉 늘어나는 허리밴드는 팬티기저귀가 아니라도 활동성 많은 울 아들에게 딱전혀 불편해 하거나 하지 않아서 착용시 이리저리 움직이며 활동하기 바쁘죠. ], 부정 텍스트 확률 : 99.13%"
"[ 허리밴드의 늘어남 보이시나요?쭉쭉 아이에 움직임에 따라 늘어나주니 참 편안하겠죠.에어링밴드로 되어 있어 신축성이 좋고샐 틈이 없어 다시 한번 감탄하게 되네요.역시 땀 차기 쉬운 여름 샘 걱정 없이 쓸 수 있는 기저귀니 말이죠. ], 부정 텍스트 확률 : 60.95%"
"[ 잠깐 동안 다른 팬티기저귀를 썼더니 같은사이즈 인데도 작아서 엉덩이가 끼는 느낌이 들어서아이가 불편하다며 자꾸 벗어 던지게 되었는데요], 부정 텍스트 확률 : 92.50%"
"[ 보솜이는 그런 걱정이 없어 넘나 좋아요.사이즈도 아이에게 맞춤처럼 잘 맞아주고요. ], 부정 텍스트 확률 : 92.28%"
"[ 아 그리고 저 요즘 피부 관리 때문에 엄청 노력하고 있느라 아이에게 짜증도 내지 않기로 했는데], 부정 텍스트 확률 : 99.90%"
"[ 아침마다 옆샘으로 침대 커버까지 다 젖어서 혼을 내고는 했었거든요. 그래서 미간 사이 주름도 생겨나서 케어 받고 조금 덜 화내고 아이들에게 소리지르지 말자...라고 하고 있는데], 부정 텍스트 확률 : 99.70%"
"[ 아침에 일어나서 뒹굴뒹굴은 기본이죠.저를 닮아 누워있는 걸 좋아 하는건지 아침 잠이 덜 깬 상태로 사진을 찍는 엄마가 왜 이러나 싶었던 것 같아요. ], 부정 텍스트 확률 : 99.37%"
"[ 등이코드제로], 부정 텍스트 확률 : 62.80%"
"[등 다이슨 공기청정기], 부정 텍스트 확률 : 71.36%"
"[등 발뮤다 토스트기등은 명에게 스타벅스아메리카노를 준다고 하니..우와 참여만 하더라도어마어마한 선물들이 기다리고 있어 기대가 됩니다.나만의 육아 꿀팁 레시피를 발견 하면이미지나 동영상으로 촬영영상 참여 시에는 유튜브 만 가능해요그 후에 업로드만 해주면 된답니다.맘마레시피], 부정 텍스트 확률 : 74.82%"
"[아유지지레시피], 부정 텍스트 확률 : 53.29%"
"[까꿍레시피 등아이의 편식], 부정 텍스트 확률 : 62.18%"
