"[ 요 천이에요 ▼▼▼ ], 긍정 텍스트 확률 : 89.19%"
"[ 이제 좀 아기방 같은 느낌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ벌써 주머니가 늘어졌답니다 ... 그냥 방만 들어가면 주머니 안부터 봐요 특히나 좋아하던 사자주머니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 77.69%"
"[ 동물 포스터도 살까 했는데 안사도 될 거 같아요 실용적이면서도 귀여운 주머니가 세개나 생겼떠요 ], 긍정 텍스트 확률 : 72.15%"
"[ 탭니 완전 주머니마다 뒤적여보는 영상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나씩 다 들여다보고 그림 다 만져보고 너무 좋아하든데요 ], 긍정 텍스트 확률 : 72.27%"
"[ 까꿍까지 덤으로...ㅋㅋㅋㅋㅋㅋㅋ이거까진 생각 못했는데 아무래도 천이니까 또 안에 들어가서 없는척을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미디어에 중독 되있는 아기인데 요즘 ㅠㅠㅠ 놀이방을 꾸며주니 한창 저기서 놀다가 밥묵었네요아기 포스터컷트지로], 긍정 텍스트 확률 : 61.13%"
"[장난감수납 주머니로 여러가지 쓰임이 많은.?만능주머니만능주머니 완성했습니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 88.41%"
"[ 이쁜천이 가득가득], 긍정 텍스트 확률 : 74.79%"
"[중고로 아기침대를 샀는데너무나 핑크핑크스러운것 ㅋㅋ울 기쁨이는 남자인데처음에 살때는 남자는 핑크지 이래놓고소심하게 원단을 주문했다..ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.69%"
"[그리고 노란색 가랜드 ], 긍정 텍스트 확률 : 52.12%"
"[앞으로 일직접만든 디데이달력도 열일중 .. .. ], 긍정 텍스트 확률 : 64.09%"
"[그담엔 안감을 겉감에 살포시 넣기 ], 긍정 텍스트 확률 : 56.46%"
"[얘는 공구르기 안해도 되고 이 부분과 뚜껑부분까지이어서 상침하면 끝 비록 찍찍이 땜에 몇번을 다시 뜯는 고생을 하긴 했지만 ], 긍정 텍스트 확률 : 69.15%"
"[완성을 하긴 했다 ], 긍정 텍스트 확률 : 61.67%"
"[ 넘넘이뿌네용ㅋㅋㅋ], 긍정 텍스트 확률 : 69.22%"
"[감사해요오😆😆], 긍정 텍스트 확률 : 84.51%"
"[ 요 천이에요 ▼▼▼ ], 긍정 텍스트 확률 : 89.19%"
"[뭐 컷팅 하지 않고 이대로 러그를 만들어도 굿굿 ㅠㅠㅠ소품으로는 무궁무진한 조각 컷트지였답니다 ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 77.68%"
"[ 완성샷 달기 전], 긍정 텍스트 확률 : 58.23%"
"[ 이사하고.?게스트룸게스트룸 이기도 해서 침대도 있구 아기가 요기 와서 놀아라구.?아기책아기책 에다가.?아기장난감아기장난감 이 많은 곳이에요 긴 테이블 아래로 책과 인형을 꽂아뒀어요], 긍정 텍스트 확률 : 99.19%"
"[ 책 수납은 그럭저럭 끝냈는데 저 오른쪽에 빈공간에는 지금 비어있어서 그렇지 장난감으로 채울 계획이었거든요 근데 장난감 수납함이 통일되지 않고 중구난방 장난감함들이라 ㅠㅠㅠ가리고픈 공간 중 하나였어요 그래서 아직까지 비어둔 상태 .......... 어쩜좋지? 하던 찰나에 ........ ], 긍정 텍스트 확률 : 70.01%"
"[동물들로 가득가득이죠 ㅠㅠ아기 키우면 깔끔함과는 멀리할 수 밖에 없는 이유 ㅠㅠ ], 긍정 텍스트 확률 : 99.30%"
"[ 그리고 항상 침대 위에는 기저귀와 장난감 보다만 책..... 손수건까지 ㅠㅠ복도식 집인데 안방까지 거리가 있다보니대저택이 아니지만 귀차니즘 베짱이맘인지라... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ처음에는 운동하는 셈 치고 왔다갔다 해보자 했지만 결국은 다 들고와서 놀때마다 기저귀 수시로 갈아주거나 흘리면 닦아주거나 해야겠드라구요], 긍정 텍스트 확률 : 77.13%"
"[ 완성샷 ], 긍정 텍스트 확률 : 63.14%"
"[ 이거에요짜잔 ], 긍정 텍스트 확률 : 52.84%"
"[ 첨엔 아기 포스터로 포인트 벽커튼 만드려다가 뭔가... 그냥 실용도도 있음 좋겠다 싶어서 만들어봤어요감이 오시나요...?바로.?아기수납주머니아기수납주머니.?아기기저귀주머니아기기저귀주머니 에요 ], 긍정 텍스트 확률 : 92.99%"
"[ 귀욤짜식ㅠㅠㅠㅠ 이런 의도는 없었으나.?까꿍놀이도까꿍놀이도 가능한.?아기놀이아기놀이 로도 너무 좋은 주머니 되었어요 검정고양이 를 그림액자처럼 보고 있어두 아기에게 너무나 좋은 교육용 그림이 되구요], 긍정 텍스트 확률 : 85.37%"
"[ 라고 해요 아기에게 말도 가르치구 사자라는 단어도 익히구 아기에게 심부름도 가르치구 편하구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 대박템 ], 긍정 텍스트 확률 : 86.84%"
"[ 그리고 안에 기저귀가 들어있답니다 ㅎㅎㅎ우유주머니에 가서 기저귀 들구 오라하면], 긍정 텍스트 확률 : 67.28%"
"[기저귀를 들고와요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아기에게 말도 가르치구 단어도 가르치구 심부름을 시키면서 익히고 몸도 움직이고 너무나도 좋은 포인트 주머니가 되었어요 ], 긍정 텍스트 확률 : 77.00%"
"[ 이제 좀 아기방 같은 느낌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ벌써 주머니가 늘어졌답니다 ... 그냥 방만 들어가면 주머니 안부터 봐요 특히나 좋아하던 사자주머니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 77.69%"
"[ 동물 포스터도 살까 했는데 안사도 될 거 같아요 실용적이면서도 귀여운 주머니가 세개나 생겼떠요 ], 긍정 텍스트 확률 : 72.15%"
"[ 탭니 완전 주머니마다 뒤적여보는 영상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나씩 다 들여다보고 그림 다 만져보고 너무 좋아하든데요 ], 긍정 텍스트 확률 : 72.27%"
"[ 까꿍까지 덤으로...ㅋㅋㅋㅋㅋㅋㅋ이거까진 생각 못했는데 아무래도 천이니까 또 안에 들어가서 없는척을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미디어에 중독 되있는 아기인데 요즘 ㅠㅠㅠ 놀이방을 꾸며주니 한창 저기서 놀다가 밥묵었네요아기 포스터컷트지로], 긍정 텍스트 확률 : 61.13%"
"[장난감수납 주머니로 여러가지 쓰임이 많은.?만능주머니만능주머니 완성했습니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 88.41%"
"[ 이쁜천이 가득가득], 긍정 텍스트 확률 : 74.79%"
"[중고로 아기침대를 샀는데너무나 핑크핑크스러운것 ㅋㅋ울 기쁨이는 남자인데처음에 살때는 남자는 핑크지 이래놓고소심하게 원단을 주문했다..ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.69%"
"[그리고 노란색 가랜드 ], 긍정 텍스트 확률 : 52.12%"
"[앞으로 일직접만든 디데이달력도 열일중 .. .. ], 긍정 텍스트 확률 : 64.09%"
"[그담엔 안감을 겉감에 살포시 넣기 ], 긍정 텍스트 확률 : 56.46%"
"[얘는 공구르기 안해도 되고 이 부분과 뚜껑부분까지이어서 상침하면 끝 비록 찍찍이 땜에 몇번을 다시 뜯는 고생을 하긴 했지만 ], 긍정 텍스트 확률 : 69.15%"
"[완성을 하긴 했다 ], 긍정 텍스트 확률 : 61.67%"
"[ 넘넘이뿌네용ㅋㅋㅋ], 긍정 텍스트 확률 : 69.22%"
"[감사해요오😆😆], 긍정 텍스트 확률 : 84.51%"
"[ 요 천이에요 ▼▼▼ ], 긍정 텍스트 확률 : 89.19%"
"[뭐 컷팅 하지 않고 이대로 러그를 만들어도 굿굿 ㅠㅠㅠ소품으로는 무궁무진한 조각 컷트지였답니다 ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 77.68%"
"[ 완성샷 달기 전], 긍정 텍스트 확률 : 58.23%"
"[ 이사하고.?게스트룸게스트룸 이기도 해서 침대도 있구 아기가 요기 와서 놀아라구.?아기책아기책 에다가.?아기장난감아기장난감 이 많은 곳이에요 긴 테이블 아래로 책과 인형을 꽂아뒀어요], 긍정 텍스트 확률 : 99.19%"
"[ 책 수납은 그럭저럭 끝냈는데 저 오른쪽에 빈공간에는 지금 비어있어서 그렇지 장난감으로 채울 계획이었거든요 근데 장난감 수납함이 통일되지 않고 중구난방 장난감함들이라 ㅠㅠㅠ가리고픈 공간 중 하나였어요 그래서 아직까지 비어둔 상태 .......... 어쩜좋지? 하던 찰나에 ........ ], 긍정 텍스트 확률 : 70.01%"
"[동물들로 가득가득이죠 ㅠㅠ아기 키우면 깔끔함과는 멀리할 수 밖에 없는 이유 ㅠㅠ ], 긍정 텍스트 확률 : 99.30%"
"[ 그리고 항상 침대 위에는 기저귀와 장난감 보다만 책..... 손수건까지 ㅠㅠ복도식 집인데 안방까지 거리가 있다보니대저택이 아니지만 귀차니즘 베짱이맘인지라... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ처음에는 운동하는 셈 치고 왔다갔다 해보자 했지만 결국은 다 들고와서 놀때마다 기저귀 수시로 갈아주거나 흘리면 닦아주거나 해야겠드라구요], 긍정 텍스트 확률 : 77.13%"
"[ 완성샷 ], 긍정 텍스트 확률 : 63.14%"
"[ 이거에요짜잔 ], 긍정 텍스트 확률 : 52.84%"
"[ 첨엔 아기 포스터로 포인트 벽커튼 만드려다가 뭔가... 그냥 실용도도 있음 좋겠다 싶어서 만들어봤어요감이 오시나요...?바로.?아기수납주머니아기수납주머니.?아기기저귀주머니아기기저귀주머니 에요 ], 긍정 텍스트 확률 : 92.99%"
"[ 귀욤짜식ㅠㅠㅠㅠ 이런 의도는 없었으나.?까꿍놀이도까꿍놀이도 가능한.?아기놀이아기놀이 로도 너무 좋은 주머니 되었어요 검정고양이 를 그림액자처럼 보고 있어두 아기에게 너무나 좋은 교육용 그림이 되구요], 긍정 텍스트 확률 : 85.37%"
"[ 라고 해요 아기에게 말도 가르치구 사자라는 단어도 익히구 아기에게 심부름도 가르치구 편하구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 대박템 ], 긍정 텍스트 확률 : 86.84%"
"[ 그리고 안에 기저귀가 들어있답니다 ㅎㅎㅎ우유주머니에 가서 기저귀 들구 오라하면], 긍정 텍스트 확률 : 67.28%"
"[기저귀를 들고와요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아기에게 말도 가르치구 단어도 가르치구 심부름을 시키면서 익히고 몸도 움직이고 너무나도 좋은 포인트 주머니가 되었어요 ], 긍정 텍스트 확률 : 77.00%"
"[ 이제 좀 아기방 같은 느낌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ벌써 주머니가 늘어졌답니다 ... 그냥 방만 들어가면 주머니 안부터 봐요 특히나 좋아하던 사자주머니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 77.69%"
"[ 동물 포스터도 살까 했는데 안사도 될 거 같아요 실용적이면서도 귀여운 주머니가 세개나 생겼떠요 ], 긍정 텍스트 확률 : 72.15%"
"[ 탭니 완전 주머니마다 뒤적여보는 영상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나씩 다 들여다보고 그림 다 만져보고 너무 좋아하든데요 ], 긍정 텍스트 확률 : 72.27%"
"[ 까꿍까지 덤으로...ㅋㅋㅋㅋㅋㅋㅋ이거까진 생각 못했는데 아무래도 천이니까 또 안에 들어가서 없는척을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미디어에 중독 되있는 아기인데 요즘 ㅠㅠㅠ 놀이방을 꾸며주니 한창 저기서 놀다가 밥묵었네요아기 포스터컷트지로], 긍정 텍스트 확률 : 61.13%"
"[장난감수납 주머니로 여러가지 쓰임이 많은.?만능주머니만능주머니 완성했습니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 88.41%"
"[ 이쁜천이 가득가득], 긍정 텍스트 확률 : 74.79%"
"[중고로 아기침대를 샀는데너무나 핑크핑크스러운것 ㅋㅋ울 기쁨이는 남자인데처음에 살때는 남자는 핑크지 이래놓고소심하게 원단을 주문했다..ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.69%"
"[그리고 노란색 가랜드 ], 긍정 텍스트 확률 : 52.12%"
"[앞으로 일직접만든 디데이달력도 열일중 .. .. ], 긍정 텍스트 확률 : 64.09%"
"[그담엔 안감을 겉감에 살포시 넣기 ], 긍정 텍스트 확률 : 56.46%"
"[얘는 공구르기 안해도 되고 이 부분과 뚜껑부분까지이어서 상침하면 끝 비록 찍찍이 땜에 몇번을 다시 뜯는 고생을 하긴 했지만 ], 긍정 텍스트 확률 : 69.15%"
"[완성을 하긴 했다 ], 긍정 텍스트 확률 : 61.67%"
"[ 넘넘이뿌네용ㅋㅋㅋ], 긍정 텍스트 확률 : 69.22%"
"[감사해요오😆😆], 긍정 텍스트 확률 : 84.51%"
"[ 요 천이에요 ▼▼▼ ], 긍정 텍스트 확률 : 89.19%"
"[뭐 컷팅 하지 않고 이대로 러그를 만들어도 굿굿 ㅠㅠㅠ소품으로는 무궁무진한 조각 컷트지였답니다 ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 77.68%"
"[ 완성샷 달기 전], 긍정 텍스트 확률 : 58.23%"
"[ 이사하고.?게스트룸게스트룸 이기도 해서 침대도 있구 아기가 요기 와서 놀아라구.?아기책아기책 에다가.?아기장난감아기장난감 이 많은 곳이에요 긴 테이블 아래로 책과 인형을 꽂아뒀어요], 긍정 텍스트 확률 : 99.19%"
"[ 책 수납은 그럭저럭 끝냈는데 저 오른쪽에 빈공간에는 지금 비어있어서 그렇지 장난감으로 채울 계획이었거든요 근데 장난감 수납함이 통일되지 않고 중구난방 장난감함들이라 ㅠㅠㅠ가리고픈 공간 중 하나였어요 그래서 아직까지 비어둔 상태 .......... 어쩜좋지? 하던 찰나에 ........ ], 긍정 텍스트 확률 : 70.01%"
"[동물들로 가득가득이죠 ㅠㅠ아기 키우면 깔끔함과는 멀리할 수 밖에 없는 이유 ㅠㅠ ], 긍정 텍스트 확률 : 99.30%"
"[ 그리고 항상 침대 위에는 기저귀와 장난감 보다만 책..... 손수건까지 ㅠㅠ복도식 집인데 안방까지 거리가 있다보니대저택이 아니지만 귀차니즘 베짱이맘인지라... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ처음에는 운동하는 셈 치고 왔다갔다 해보자 했지만 결국은 다 들고와서 놀때마다 기저귀 수시로 갈아주거나 흘리면 닦아주거나 해야겠드라구요], 긍정 텍스트 확률 : 77.13%"
"[ 완성샷 ], 긍정 텍스트 확률 : 63.14%"
"[ 이거에요짜잔 ], 긍정 텍스트 확률 : 52.84%"
"[ 첨엔 아기 포스터로 포인트 벽커튼 만드려다가 뭔가... 그냥 실용도도 있음 좋겠다 싶어서 만들어봤어요감이 오시나요...?바로.?아기수납주머니아기수납주머니.?아기기저귀주머니아기기저귀주머니 에요 ], 긍정 텍스트 확률 : 92.99%"
"[ 귀욤짜식ㅠㅠㅠㅠ 이런 의도는 없었으나.?까꿍놀이도까꿍놀이도 가능한.?아기놀이아기놀이 로도 너무 좋은 주머니 되었어요 검정고양이 를 그림액자처럼 보고 있어두 아기에게 너무나 좋은 교육용 그림이 되구요], 긍정 텍스트 확률 : 85.37%"
"[ 라고 해요 아기에게 말도 가르치구 사자라는 단어도 익히구 아기에게 심부름도 가르치구 편하구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 대박템 ], 긍정 텍스트 확률 : 86.84%"
"[ 그리고 안에 기저귀가 들어있답니다 ㅎㅎㅎ우유주머니에 가서 기저귀 들구 오라하면], 긍정 텍스트 확률 : 67.28%"
"[기저귀를 들고와요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아기에게 말도 가르치구 단어도 가르치구 심부름을 시키면서 익히고 몸도 움직이고 너무나도 좋은 포인트 주머니가 되었어요 ], 긍정 텍스트 확률 : 77.00%"
"[ 이제 좀 아기방 같은 느낌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ벌써 주머니가 늘어졌답니다 ... 그냥 방만 들어가면 주머니 안부터 봐요 특히나 좋아하던 사자주머니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 77.69%"
"[ 동물 포스터도 살까 했는데 안사도 될 거 같아요 실용적이면서도 귀여운 주머니가 세개나 생겼떠요 ], 긍정 텍스트 확률 : 72.15%"
"[ 탭니 완전 주머니마다 뒤적여보는 영상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나씩 다 들여다보고 그림 다 만져보고 너무 좋아하든데요 ], 긍정 텍스트 확률 : 72.27%"
"[ 까꿍까지 덤으로...ㅋㅋㅋㅋㅋㅋㅋ이거까진 생각 못했는데 아무래도 천이니까 또 안에 들어가서 없는척을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미디어에 중독 되있는 아기인데 요즘 ㅠㅠㅠ 놀이방을 꾸며주니 한창 저기서 놀다가 밥묵었네요아기 포스터컷트지로], 긍정 텍스트 확률 : 61.13%"
"[장난감수납 주머니로 여러가지 쓰임이 많은.?만능주머니만능주머니 완성했습니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 88.41%"
"[ 이쁜천이 가득가득], 긍정 텍스트 확률 : 74.79%"
"[중고로 아기침대를 샀는데너무나 핑크핑크스러운것 ㅋㅋ울 기쁨이는 남자인데처음에 살때는 남자는 핑크지 이래놓고소심하게 원단을 주문했다..ㅋㅋㅋ ], 긍정 텍스트 확률 : 87.69%"
"[그리고 노란색 가랜드 ], 긍정 텍스트 확률 : 52.12%"
"[앞으로 일직접만든 디데이달력도 열일중 .. .. ], 긍정 텍스트 확률 : 64.09%"
"[그담엔 안감을 겉감에 살포시 넣기 ], 긍정 텍스트 확률 : 56.46%"
"[얘는 공구르기 안해도 되고 이 부분과 뚜껑부분까지이어서 상침하면 끝 비록 찍찍이 땜에 몇번을 다시 뜯는 고생을 하긴 했지만 ], 긍정 텍스트 확률 : 69.15%"
"[완성을 하긴 했다 ], 긍정 텍스트 확률 : 61.67%"
"[ 넘넘이뿌네용ㅋㅋㅋ], 긍정 텍스트 확률 : 69.22%"
"[감사해요오😆😆], 긍정 텍스트 확률 : 84.51%"
"[ 요 천이에요 ▼▼▼ ], 긍정 텍스트 확률 : 89.19%"
"[뭐 컷팅 하지 않고 이대로 러그를 만들어도 굿굿 ㅠㅠㅠ소품으로는 무궁무진한 조각 컷트지였답니다 ㅠㅠㅠㅠ ], 긍정 텍스트 확률 : 77.68%"
"[ 완성샷 달기 전], 긍정 텍스트 확률 : 58.23%"
"[ 이사하고.?게스트룸게스트룸 이기도 해서 침대도 있구 아기가 요기 와서 놀아라구.?아기책아기책 에다가.?아기장난감아기장난감 이 많은 곳이에요 긴 테이블 아래로 책과 인형을 꽂아뒀어요], 긍정 텍스트 확률 : 99.19%"
"[ 책 수납은 그럭저럭 끝냈는데 저 오른쪽에 빈공간에는 지금 비어있어서 그렇지 장난감으로 채울 계획이었거든요 근데 장난감 수납함이 통일되지 않고 중구난방 장난감함들이라 ㅠㅠㅠ가리고픈 공간 중 하나였어요 그래서 아직까지 비어둔 상태 .......... 어쩜좋지? 하던 찰나에 ........ ], 긍정 텍스트 확률 : 70.01%"
"[동물들로 가득가득이죠 ㅠㅠ아기 키우면 깔끔함과는 멀리할 수 밖에 없는 이유 ㅠㅠ ], 긍정 텍스트 확률 : 99.30%"
"[ 그리고 항상 침대 위에는 기저귀와 장난감 보다만 책..... 손수건까지 ㅠㅠ복도식 집인데 안방까지 거리가 있다보니대저택이 아니지만 귀차니즘 베짱이맘인지라... ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ처음에는 운동하는 셈 치고 왔다갔다 해보자 했지만 결국은 다 들고와서 놀때마다 기저귀 수시로 갈아주거나 흘리면 닦아주거나 해야겠드라구요], 긍정 텍스트 확률 : 77.13%"
"[ 완성샷 ], 긍정 텍스트 확률 : 63.14%"
"[ 이거에요짜잔 ], 긍정 텍스트 확률 : 52.84%"
"[ 첨엔 아기 포스터로 포인트 벽커튼 만드려다가 뭔가... 그냥 실용도도 있음 좋겠다 싶어서 만들어봤어요감이 오시나요...?바로.?아기수납주머니아기수납주머니.?아기기저귀주머니아기기저귀주머니 에요 ], 긍정 텍스트 확률 : 92.99%"
"[ 귀욤짜식ㅠㅠㅠㅠ 이런 의도는 없었으나.?까꿍놀이도까꿍놀이도 가능한.?아기놀이아기놀이 로도 너무 좋은 주머니 되었어요 검정고양이 를 그림액자처럼 보고 있어두 아기에게 너무나 좋은 교육용 그림이 되구요], 긍정 텍스트 확률 : 85.37%"
"[ 라고 해요 아기에게 말도 가르치구 사자라는 단어도 익히구 아기에게 심부름도 가르치구 편하구ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ진짜 대박템 ], 긍정 텍스트 확률 : 86.84%"
"[ 그리고 안에 기저귀가 들어있답니다 ㅎㅎㅎ우유주머니에 가서 기저귀 들구 오라하면], 긍정 텍스트 확률 : 67.28%"
"[기저귀를 들고와요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아기에게 말도 가르치구 단어도 가르치구 심부름을 시키면서 익히고 몸도 움직이고 너무나도 좋은 포인트 주머니가 되었어요 ], 긍정 텍스트 확률 : 77.00%"
"[ 이제 좀 아기방 같은 느낌?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ벌써 주머니가 늘어졌답니다 ... 그냥 방만 들어가면 주머니 안부터 봐요 특히나 좋아하던 사자주머니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ], 긍정 텍스트 확률 : 77.69%"
"[ 동물 포스터도 살까 했는데 안사도 될 거 같아요 실용적이면서도 귀여운 주머니가 세개나 생겼떠요 ], 긍정 텍스트 확률 : 72.15%"
"[ 탭니 완전 주머니마다 뒤적여보는 영상 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하나씩 다 들여다보고 그림 다 만져보고 너무 좋아하든데요 ], 긍정 텍스트 확률 : 72.27%"
"[ 까꿍까지 덤으로...ㅋㅋㅋㅋㅋㅋㅋ이거까진 생각 못했는데 아무래도 천이니까 또 안에 들어가서 없는척을 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미디어에 중독 되있는 아기인데 요즘 ㅠㅠㅠ 놀이방을 꾸며주니 한창 저기서 놀다가 밥묵었네요아기 포스터컷트지로], 긍정 텍스트 확률 : 61.13%"
"[장난감수납 주머니로 여러가지 쓰임이 많은.?만능주머니만능주머니 완성했습니다 ㅎㅎㅎ ], 긍정 텍스트 확률 : 88.41%"
